epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5223,1.60338,4.25313,1.20299,0.02038,0.70837,0.08901,0.0515,1.00951,4.15926,0.85552,0.000190842,0.000190842,0.000190842
2,24.218,1.2739,3.15903,1.00587,0.02436,0.92145,0.37889,0.24999,1.0274,3.53587,0.87693,0.000348545,0.000348545,0.000348545
3,31.5657,1.27501,2.15244,1.0468,0.70874,0.43923,0.62594,0.44506,1.01358,2.35533,0.90017,0.000467439,0.000467439,0.000467439
4,38.7015,1.22382,1.60003,1.03079,0.76365,0.68746,0.78625,0.53899,1.06151,1.29729,0.92567,0.000413364,0.000413364,0.000413364
5,46.5606,1.13755,1.2337,1.02606,0.74761,0.81183,0.89348,0.64674,0.92309,0.98089,0.89732,0.000355152,0.000355152,0.000355152
6,53.6193,1.13146,1.13012,1.01863,0.85525,0.85588,0.93288,0.70482,0.89737,0.81857,0.89139,0.00029694,0.00029694,0.00029694
7,60.8883,1.09517,0.99421,1.00675,0.91767,0.90052,0.95065,0.71004,0.91206,0.74054,0.88865,0.000238728,0.000238728,0.000238728
8,67.9549,1.04615,0.99805,0.97956,0.95552,0.9136,0.96483,0.73049,0.89601,0.71783,0.89856,0.000180516,0.000180516,0.000180516
9,75.5513,1.04798,0.9081,0.97791,0.93943,0.93733,0.96503,0.75232,0.81971,0.66777,0.87813,0.000122304,0.000122304,0.000122304
10,82.6201,1.01821,0.89442,0.9853,0.95725,0.93899,0.96972,0.76518,0.82941,0.63926,0.88493,6.4092e-05,6.4092e-05,6.4092e-05
