epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8591,1.64635,4.13134,1.21062,0.02598,0.7283,0.14961,0.09247,1.01233,4.0288,0.8537,0.000190842,0.000190842,0.000190842
2,40.6557,1.33181,2.83008,1.02363,0.97652,0.06897,0.33224,0.21425,1.02047,3.29022,0.87963,0.000348545,0.000348545,0.000348545
3,57.6065,1.25836,1.93758,1.01289,0.51156,0.45844,0.53111,0.37742,1.01613,2.20511,0.91459,0.000467439,0.000467439,0.000467439
4,75.5969,1.24484,1.50932,1.01219,0.53033,0.65585,0.65071,0.4671,1.06788,1.37509,0.9453,0.000413364,0.000413364,0.000413364
5,91.9006,1.16858,1.32162,0.98516,0.68419,0.70475,0.79348,0.59357,0.92052,1.17143,0.90487,0.000355152,0.000355152,0.000355152
6,107.91,1.11455,1.12273,0.98319,0.76926,0.7939,0.89212,0.66396,0.92456,0.94915,0.90663,0.00029694,0.00029694,0.00029694
7,124.585,1.09718,1.05802,0.97372,0.86237,0.89199,0.93744,0.70185,0.88908,0.80883,0.8992,0.000238728,0.000238728,0.000238728
8,141.139,1.0577,0.95181,0.96639,0.87505,0.9114,0.96772,0.74261,0.83273,0.74721,0.89168,0.000180516,0.000180516,0.000180516
9,157.39,1.07206,0.90805,0.98047,0.92694,0.92376,0.97338,0.74368,0.84743,0.66195,0.89524,0.000122304,0.000122304,0.000122304
10,174.403,1.02201,0.89079,0.95353,0.94528,0.93002,0.97544,0.75056,0.84214,0.68155,0.89448,6.4092e-05,6.4092e-05,6.4092e-05
