epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.7332,3.15899,2.55994,1.284,0.11815,0.72337,0.26534,0.07748,2.66508,2.46746,0.93871,0.00065625,0.00065625,0.00065625
2,62.142,2.10519,1.0732,0.89709,0.70975,0.67123,0.63554,0.21097,2.24831,1.46184,0.89809,0.00129672,0.00129672,0.00129672
3,104.203,2.05576,1.02789,0.89028,0.7838,0.70492,0.72572,0.27623,2.186,1.04065,0.90335,0.0019108,0.0019108,0.0019108
4,130.901,1.96542,0.96332,0.87869,0.75288,0.71378,0.69618,0.24703,2.2634,1.00594,0.90468,0.0018812,0.0018812,0.0018812
5,215.703,1.89321,0.93129,0.8707,0.84705,0.74096,0.80243,0.31206,2.08107,0.95078,0.89069,0.0018416,0.0018416,0.0018416
6,244.414,1.84009,0.88864,0.86379,0.90731,0.8561,0.88777,0.38775,1.81757,0.83203,0.85564,0.001802,0.001802,0.001802
7,272.508,1.81677,0.8655,0.863,0.86755,0.78383,0.83437,0.35084,1.97517,0.86452,0.87121,0.0017624,0.0017624,0.0017624
8,299.496,1.73287,0.84552,0.85564,0.86996,0.82917,0.86405,0.40938,1.74969,0.85331,0.85056,0.0017228,0.0017228,0.0017228
9,332.543,1.72646,0.83705,0.85246,0.91595,0.85835,0.90944,0.43988,1.72,0.78838,0.84748,0.0016832,0.0016832,0.0016832
10,360.73,1.68325,0.79888,0.8465,0.92252,0.87929,0.91979,0.47854,1.59305,0.75993,0.83413,0.0016436,0.0016436,0.0016436
11,389.524,1.67851,0.80112,0.84729,0.92179,0.86768,0.91094,0.45464,1.62363,0.75653,0.83481,0.001604,0.001604,0.001604
12,417.965,1.61057,0.77228,0.84052,0.93282,0.89151,0.92996,0.47904,1.54589,0.73866,0.83076,0.0015644,0.0015644,0.0015644
13,448.455,1.62394,0.76833,0.84226,0.92896,0.88294,0.9343,0.5043,1.50012,0.72328,0.82536,0.0015248,0.0015248,0.0015248
