epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.515,1.19183,2.35367,1.08448,0.52626,0.64534,0.6226,0.50302,0.72606,0.97139,0.92502,0.00332629,0.00332629,0.00332629
2,438.225,0.89198,0.98882,0.94997,0.86382,0.83353,0.90651,0.72555,0.7597,0.64858,0.91561,0.00652776,0.00652776,0.00652776
3,630.257,0.82862,0.7747,0.92935,0.86809,0.83381,0.91527,0.70208,0.83295,0.66186,0.94395,0.00959723,0.00959723,0.00959723
4,848.778,0.75421,0.66389,0.91034,0.93031,0.90102,0.95736,0.81989,0.58032,0.45836,0.87841,0.009406,0.009406,0.009406
5,1073.8,0.69437,0.58751,0.89414,0.9354,0.9118,0.96363,0.83758,0.54787,0.4325,0.86647,0.009208,0.009208,0.009208
6,1294.6,0.65924,0.54529,0.88541,0.94277,0.9199,0.96805,0.8556,0.50915,0.38645,0.85846,0.00901,0.00901,0.00901
7,1500.44,0.6344,0.51268,0.87913,0.94871,0.92924,0.97313,0.8596,0.51109,0.37682,0.85968,0.008812,0.008812,0.008812
8,1722.89,0.61926,0.48937,0.8742,0.95445,0.93661,0.97662,0.86764,0.50769,0.35156,0.85163,0.008614,0.008614,0.008614
9,1933.57,0.60464,0.47233,0.87121,0.96056,0.94164,0.97901,0.86944,0.50819,0.33735,0.84969,0.008416,0.008416,0.008416
10,2143.64,0.5925,0.45761,0.86816,0.96109,0.94332,0.98006,0.88816,0.45783,0.32091,0.84062,0.008218,0.008218,0.008218
11,2372.14,0.58467,0.44751,0.86635,0.96073,0.94803,0.98091,0.88792,0.45843,0.315,0.84088,0.00802,0.00802,0.00802
12,2647.58,0.57612,0.43749,0.86384,0.965,0.94985,0.9819,0.89441,0.44869,0.30467,0.83742,0.007822,0.007822,0.007822
13,2881.95,0.5682,0.42866,0.86232,0.96586,0.95245,0.98356,0.89643,0.44446,0.29872,0.83679,0.007624,0.007624,0.007624
14,3092.25,0.56127,0.42246,0.8611,0.96638,0.95324,0.98412,0.89829,0.44141,0.29412,0.83537,0.007426,0.007426,0.007426
15,3310.29,0.55665,0.4164,0.85948,0.96686,0.95609,0.9846,0.90264,0.43429,0.28732,0.83427,0.007228,0.007228,0.007228
16,3550.71,0.54934,0.40934,0.85807,0.96969,0.95706,0.98532,0.90499,0.42776,0.28178,0.83145,0.00703,0.00703,0.00703
17,3765.11,0.54312,0.40296,0.85673,0.96886,0.95864,0.98546,0.90333,0.43402,0.28103,0.83214,0.006832,0.006832,0.006832
18,4004.84,0.54036,0.39935,0.85578,0.96955,0.95821,0.98562,0.90854,0.4226,0.2758,0.83007,0.006634,0.006634,0.006634
19,4249.15,0.5358,0.39484,0.85483,0.96977,0.962,0.9862,0.91025,0.42114,0.27074,0.82903,0.006436,0.006436,0.006436
20,4488.84,0.53142,0.3907,0.8539,0.97085,0.96162,0.98641,0.90935,0.42215,0.26994,0.82917,0.006238,0.006238,0.006238
21,4732.81,0.52692,0.38582,0.85289,0.97048,0.96333,0.98692,0.91542,0.40677,0.26241,0.82649,0.00604,0.00604,0.00604
22,4967.94,0.52389,0.38227,0.85262,0.9718,0.96271,0.98714,0.91571,0.40735,0.26111,0.82682,0.005842,0.005842,0.005842
