epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.915,1.1462,2.16523,1.06532,0.63695,0.70514,0.72672,0.54527,0.89647,0.89547,0.96734,0.00332863,0.00332863,0.00332863
2,424.831,0.85995,0.91088,0.94107,0.89097,0.85122,0.92328,0.75826,0.66398,0.59403,0.90945,0.00639815,0.00639815,0.00639815
3,655.193,0.79184,0.72618,0.91892,0.92538,0.90064,0.95545,0.81006,0.59475,0.48594,0.87687,0.00920367,0.00920367,0.00920367
4,878.334,0.73579,0.63955,0.90432,0.93581,0.90887,0.96035,0.82653,0.5671,0.44841,0.87347,0.008812,0.008812,0.008812
5,1119.44,0.68591,0.58367,0.89144,0.94965,0.92868,0.9714,0.85716,0.50598,0.39677,0.8575,0.008416,0.008416,0.008416
6,1355.59,0.65503,0.54694,0.88374,0.95468,0.93039,0.97361,0.86368,0.49671,0.37689,0.85256,0.00802,0.00802,0.00802
7,1577.88,0.63159,0.51859,0.87771,0.95436,0.94,0.97698,0.86982,0.48936,0.35952,0.84833,0.007624,0.007624,0.007624
8,1838.71,0.61824,0.49704,0.87366,0.96035,0.94431,0.97935,0.88047,0.47044,0.34174,0.84358,0.007228,0.007228,0.007228
9,4672.32,0.60028,0.47794,0.86966,0.96117,0.94406,0.97981,0.88688,0.45449,0.32984,0.84001,0.006832,0.006832,0.006832
10,4869.23,0.58811,0.46363,0.86688,0.96275,0.94841,0.98129,0.89137,0.44971,0.31978,0.83844,0.006436,0.006436,0.006436
11,5059.25,0.57605,0.45055,0.86342,0.96232,0.94856,0.98109,0.87806,0.48786,0.32571,0.84497,0.00604,0.00604,0.00604
12,5255.94,0.56733,0.44009,0.86195,0.96522,0.95256,0.98196,0.89262,0.44896,0.30785,0.83606,0.005644,0.005644,0.005644
13,5456.5,0.55781,0.42988,0.8597,0.96385,0.9545,0.98308,0.8979,0.43678,0.30112,0.83434,0.005248,0.005248,0.005248
14,5660.22,0.54965,0.42177,0.85825,0.96691,0.95483,0.98375,0.90024,0.43471,0.29722,0.83268,0.004852,0.004852,0.004852
15,5874.18,0.54216,0.4156,0.85613,0.96767,0.95706,0.98442,0.90103,0.43424,0.29168,0.83244,0.004456,0.004456,0.004456
16,6082.17,0.48585,0.34433,0.85012,0.96811,0.95754,0.98519,0.90588,0.42491,0.28283,0.82969,0.00406,0.00406,0.00406
17,6287.53,0.47161,0.33112,0.84582,0.97027,0.95792,0.98573,0.90916,0.41657,0.27561,0.82692,0.003664,0.003664,0.003664
18,6498,0.46341,0.32312,0.84327,0.97047,0.9596,0.98589,0.91011,0.41381,0.27132,0.82583,0.003268,0.003268,0.003268
19,6708.33,0.45545,0.3156,0.84058,0.97059,0.9605,0.98647,0.91234,0.4126,0.2675,0.82483,0.002872,0.002872,0.002872
20,6919.21,0.44658,0.30842,0.83915,0.97014,0.9618,0.98669,0.9142,0.40827,0.26347,0.82399,0.002476,0.002476,0.002476
21,7128.66,0.44158,0.3027,0.83786,0.97136,0.96261,0.98716,0.91758,0.40002,0.25797,0.82232,0.00208,0.00208,0.00208
22,7337.21,0.4341,0.29606,0.83572,0.9724,0.96285,0.98747,0.9204,0.3946,0.25396,0.82098,0.001684,0.001684,0.001684
23,7546.27,0.42709,0.29026,0.83363,0.9715,0.96412,0.98758,0.92097,0.39378,0.25233,0.8205,0.001288,0.001288,0.001288
24,7757.4,0.42165,0.28529,0.83175,0.97278,0.96472,0.98753,0.92131,0.39268,0.25034,0.81991,0.000892,0.000892,0.000892
25,7968.71,0.41493,0.27936,0.82977,0.97281,0.96462,0.98768,0.92165,0.39213,0.24932,0.81958,0.000496,0.000496,0.000496
